,Title,Channel,URL,Published At,Thumbnail
0,"NEW Lamborghini Sian FKP 37: 808 hp, V12 Hybrid Supercar - First Drive Review | Carfection 4k",Carfection,https://www.youtube.com/watch?v=SFgLXZ9sKUc,2021-03-06T07:40:00Z,https://i.ytimg.com/vi/SFgLXZ9sKUc/default.jpg
1,NEW Porsche 911 Turbo S (992): Road And Track Review | Carfection 4K,Carfection,https://www.youtube.com/watch?v=aWRjLjnFOoE,2021-03-06T07:40:10Z,https://i.ytimg.com/vi/aWRjLjnFOoE/default.jpg
2,FULL REVIEW: Chris Harris vs the 986bhp hybrid Ferrari SF90 | Top Gear: Series 29,Top Gear,https://www.youtube.com/watch?v=k1bB_mU4wq0,2021-03-06T07:41:08Z,https://i.ytimg.com/vi/k1bB_mU4wq0/default.jpg
